Seed,FIFO_PageFaults,LRU_PageFaults
Seed 0,410,408
Seed 1,390,392
Seed 2,394,395
Seed 3,402,401
Seed 4,404,404
Seed 5,394,396
Seed 6,397,399
Seed 7,386,380
Seed 8,391,397
Seed 9,401,393
